trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.019887799979187548,,0.003743499983102083,0.019887799979187548,0.019887799979187548,0.019887799979187548,0.019887799979187548,7.0498423999524675,8,9,True,0,0.0,0.22,0.44,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[3.9513087999657728, 4.574999000004027, 4.830357800005004, 5.030310900008772, 5.382452599995304, 5.814178299973719, 6.014203600003384, 6.4941992000094615, 7.0297327999724075]","[None, None, None, None, None, None, None, None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
1,0,1,0,7.0648289999808185,,7.0514009000035,7.0648289999808185,7.0648289999808185,7.0648289999808185,7.0648289999808185,10.046552799991332,1,1,False,1,0.0,0.115,0.23,"['l', 'a']","[1.1778908999986015, 2.9777866000076756]","[None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
2,0,2,0,10.062181999965105,,10.047621799982153,10.062181999965105,10.062181999965105,10.062181999965105,10.062181999965105,11.496123399992939,3,1,False,2,0.05,0.115,0.23,"['l', 'a']","[1.0695540999877267, 1.4296730000060052]","[None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
3,0,3,0,11.51094969996484,,11.497049700003117,11.51094969996484,11.51094969996484,11.51094969996484,11.51094969996484,12.428666599967983,10,1,False,3,0.1,0.115,0.23,"['l', 'a']","[0.6763245000038296, 0.9165650999639183]","[None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
4,0,4,0,12.443724399956409,,12.429642000002787,12.443724399956409,12.443724399956409,12.443724399956409,12.443724399956409,13.527909399999771,7,1,False,4,0.15,0.115,0.23,"['l', 'a']","[0.9040061999694444, 1.087802099995315]","[None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
5,0,5,0,13.542618499952368,,13.529945299960673,13.542618499952368,13.542618499952368,13.542618499952368,13.542618499952368,14.077150699973572,4,1,False,5,0.2,0.115,0.23,"['l', 'a']","[0.4014039999456145, 0.5287492999923415]","[None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
6,0,6,0,14.092421100009233,,14.078110500006005,14.092421100009233,14.092421100009233,14.092421100009233,14.092421100009233,14.543233999982476,6,1,False,6,0.25,0.115,0.23,"['l', 'a']","[0.3202232000185177, 0.4472397000063211]","[None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
7,0,7,0,14.558661499992013,,14.544199500000104,14.558661499992013,14.558661499992013,14.558661499992013,14.558661499992013,15.342719699954614,9,1,False,7,0.3,0.115,0.23,"['l', 'a']","[0.6751615999964997, 0.7870637999731116]","[None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
8,0,8,0,15.357768599991687,,15.343638799968176,15.357768599991687,15.357768599991687,15.357768599991687,15.357768599991687,16.608379999990575,2,3,True,7,0.35,0.13,0.26,"['l', 'l', 'l']","[0.6145855999784544, 0.766150799987372, 1.2455165999708697]","[None, None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
9,0,9,0,16.62350799998967,,16.60957979998784,16.62350799998967,16.62350799998967,16.62350799998967,16.62350799998967,17.507376199995633,5,2,False,9,0.35,0.13,0.26,"['l', 'l', 'a']","[0.49936300003901124, 0.6683871000423096, 0.8908704000059515]","[None, None, None]",086482,,2024-02-13_17h28.49.417,bart,2023.2.2,60.12267430085328,2024-02-13 17h28.56.197864 +0000,
