trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,boomSlide.started,text.started,soundEffect.started,text.stopped,boomSlide.stopped,soundEffect.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.029545099998358637,,0.004400400001031812,0.029545099998358637,0.029545099998358637,0.029545099998358637,0.029545099998358637,0.029545099998358637,3.1276739000022644,11,12,True,0,0,0.0,0.3578125,0.715625,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[1.4074846000003163, 1.5903309999994235, 1.7431612000000314, 1.9034018999955151, 2.0626677999971434, 2.2234068999969168, 2.3676228999975137, 2.510391799994977, 2.654452599999786, 2.7995622999951593, 2.9422879999983707, 3.094965399999637]","[None, None, None, None, None, None, None, None, None, None, None, None]",3.12925830000313,3.142771899998479,3.1429400199995143,4.141971800003375,4.125795400002971,,095704,,2024-02-19_18h31.38.178,bart,2023.2.2,59.99473246341288,2024-02-19 18h31.45.262677 +0000,
1,0,1,0,4.141971800003375,,4.126136699997005,4.141971800003375,4.141971800003375,4.141971800003375,4.141971800003375,4.141971800003375,6.774749399999564,17,11,False,0.55,11,0.55,0.3578125,0.715625,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.936288600001717, 1.1195214000035776, 1.2795151000027545, 1.448388700002397, 1.6001083000010112, 1.7594096000029822, 1.9277723999985028, 2.0886884999999893, 2.2728934999977355, 2.4636317000040435, 2.632449800003087]","[None, None, None, None, None, None, None, None, None, None, None]",6.776306799998565,6.796116400000756,6.7899061200005235,6.796116400000756,6.7805967000022065,6.796116400000756,095704,,2024-02-19_18h31.38.178,bart,2023.2.2,59.99473246341288,2024-02-19 18h31.45.262677 +0000,
2,0,2,0,6.796116400000756,,6.7809330000018235,6.796116400000756,6.796116400000756,6.796116400000756,6.796116400000756,6.796116400000756,8.15695979999873,15,6,False,0.3,17,0.85,0.240625,0.48125,"['l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.2862693999995827, 0.44749210000009043, 0.607464799999434, 0.7822223999974085, 0.9352549999966868, 1.1113025000013295, 1.3662612999978592]","[None, None, None, None, None, None, None]",8.158081399997172,8.177984100002504,8.172092519998841,8.177984100002504,8.16047350000008,8.177984100002504,095704,,2024-02-19_18h31.38.178,bart,2023.2.2,59.99473246341288,2024-02-19 18h31.45.262677 +0000,
3,0,3,0,8.177984100002504,,8.160808599997836,8.177984100002504,8.177984100002504,8.177984100002504,8.177984100002504,8.177984100002504,9.405876700002409,10,6,False,0.3,23,1.15,0.240625,0.48125,"['l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.28829749999567866, 0.45753549999790266, 0.6005833999952301, 0.7686613999976544, 0.9296638999949209, 1.0887168999979622, 1.232532900001388]","[None, None, None, None, None, None, None]",9.407337999997253,9.433284400001867,9.42095492000226,9.433284400001867,9.42053820000001,9.433284400001867,095704,,2024-02-19_18h31.38.178,bart,2023.2.2,59.99473246341288,2024-02-19 18h31.45.262677 +0000,
4,0,4,0,9.433284400001867,,9.42089180000039,9.433284400001867,9.433284400001867,9.433284400001867,9.433284400001867,9.433284400001867,9.788746099999116,27,1,False,0.05,24,1.2,0.1234375,0.246875,"['l', 'a']","[0.258326200004376, 0.3543652000007569]","[None, None]",9.790226700002677,9.825786499997776,9.804007020000427,9.825786499997776,9.810649099999864,9.825786499997776,095704,,2024-02-19_18h31.38.178,bart,2023.2.2,59.99473246341288,2024-02-19 18h31.45.262677 +0000,
5,0,5,0,9.825786499997776,,9.810990400001174,9.825786499997776,9.825786499997776,9.825786499997776,9.825786499997776,9.825786499997776,10.07182019999891,8,1,False,0.05,25,1.25,0.1234375,0.246875,"['l', 'a']","[0.10558119999768678, 0.24153189999924507]","[None, None]",10.073084600000584,10.114824600001157,10.087049219997425,10.114824600001157,10.10078120000253,10.114824600001157,095704,,2024-02-19_18h31.38.178,bart,2023.2.2,59.99473246341288,2024-02-19 18h31.45.262677 +0000,
6,0,6,0,10.114824600001157,,10.101138199999696,10.114824600001157,10.114824600001157,10.114824600001157,10.114824600001157,10.114824600001157,10.271569800002908,5,1,False,0.05,26,1.3,0.1234375,0.246875,"['l', 'a']","[0.033818399999290705, 0.16142630000103964]","[None, None]",10.272698300002958,10.293059700001322,10.286750619998202,10.293059700001322,10.28102879999642,10.293059700001322,095704,,2024-02-19_18h31.38.178,bart,2023.2.2,59.99473246341288,2024-02-19 18h31.45.262677 +0000,
7,0,7,0,10.293059700001322,,10.281652500001655,10.293059700001322,10.293059700001322,10.293059700001322,10.293059700001322,10.293059700001322,10.471469199997955,3,1,False,0.05,27,1.35,0.1234375,0.246875,"['l', 'a']","[0.053413800000271294, 0.18145039999944856]","[None, None]",10.472648199996911,10.502198900001531,10.486574720001954,10.502198900001531,10.491203899997345,10.502198900001531,095704,,2024-02-19_18h31.38.178,bart,2023.2.2,59.99473246341288,2024-02-19 18h31.45.262677 +0000,
8,0,8,0,10.502198900001531,,10.491539199996623,10.502198900001531,10.502198900001531,10.502198900001531,10.502198900001531,10.502198900001531,12.53662980000081,12,13,True,0,27,1.35,0.38125,0.7625,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.04521499999827938, 0.22826029999851016, 0.3724704999985988, 0.5484884999968926, 0.7166016999981366, 0.876615999994101, 1.036849699994491, 1.1968350999959512, 1.356770399994275, 1.5253460999956587, 1.6858707999999751, 1.8535491000002366, 2.02863349999825]","[None, None, None, None, None, None, None, None, None, None, None, None, None]",12.537866500002565,12.551546900001995,12.551775519998046,13.551024499996856,13.534852600001614,,095704,,2024-02-19_18h31.38.178,bart,2023.2.2,59.99473246341288,2024-02-19 18h31.45.262677 +0000,
,,,,13.551024499996856,,13.535350999998627,13.551024499996856,13.551024499996856,13.551024499996856,13.551024499996856,13.551024499996856,,,,,,,,,,,,,,,,,,,,,,,,,,
