trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,boomSlide.started,text.started,soundEffect.started,text.stopped,boomSlide.stopped,soundEffect.stopped,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.04219079999893438,,0.004215100001601968,0.04219079999893438,0.04219079999893438,0.04219079999893438,0.04219079999893438,0.04219079999893438,0.04219079999893438,12.861385700001847,1,2,True,0,0,0.0,0.1234375,0.246875,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a', 'l', 'l', 'a', 'l', 'l']","[3.877110300003551, 5.3411281000007875, 5.901231100004225, 6.364495000001625, 6.532449300000735, 6.692461200000253, 6.8617360000062035, 7.334169400004612, 7.557107900000119, 7.7806070000006, 8.004349300004833, 9.964598400001705, 10.364625500005786, 10.813604700000724, 11.076685600004566, 11.373431700005312, 12.676457000001392, 12.820621100006974]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",12.868195000002743,12.876500799997302,12.876596220001375,13.878945500000555,13.85953470000095,,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
1,0,1,0,13.878945500000555,,13.85990309999761,13.878945500000555,13.878945500000555,13.878945500000555,13.878945500000555,13.878945500000555,13.878945500000555,15.442684499997995,2,3,True,0,0,0.0,0.146875,0.29375,"['l', 'l']","[0.8203389999980573, 1.5635278999980073]","[None, None]",15.443851399999403,15.457695500001137,15.457789819996833,16.456812800002808,16.44075719999819,,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
2,0,2,0,16.456812800002808,,16.44110190000356,16.456812800002808,16.456812800002808,16.456812800002808,16.456812800002808,16.456812800002808,16.456812800002808,26.367255600001954,11,8,False,0.4,8,0.4,0.2875,0.575,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[3.253935699998692, 3.5501874999972642, 3.7501887999969767, 4.0530272999967565, 4.381262800001423, 8.41319669999939, 8.725081199998385, 8.877900799998315, 9.908944499999052]","[None, None, None, None, None, None, None, None, None]",26.368604700001015,26.41544309999881,26.382153219998145,26.41544309999881,26.39669380000123,26.41544309999881,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
3,0,3,0,26.41544309999881,,26.397140499997477,26.41544309999881,26.41544309999881,26.41544309999881,26.41544309999881,26.41544309999881,26.41544309999881,27.982324299999163,31,4,False,0.2,12,0.6,0.19375,0.3875,"['l', 'l', 'l', 'l', 'a']","[0.892654199997196, 1.0436616000006325, 1.2028390999985277, 1.3482568000035826, 1.571597300004214]","[None, None, None, None, None]",27.983833700003743,28.00464849999844,27.99748991999877,28.00464849999844,27.98630850000336,28.00464849999844,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
4,0,4,0,28.00464849999844,,27.986796700002742,28.00464849999844,28.00464849999844,28.00464849999844,28.00464849999844,28.00464849999844,28.00464849999844,31.013534300000174,21,16,False,0.8,28,1.4,0.475,0.95,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.3491155000010622, 0.5010865000003832, 0.6613157000028878, 0.8296269000056782, 0.9985422000027029, 1.1816566000052262, 1.3428885000030277, 1.4940245000034338, 1.6537489000038477, 1.8132456000021193, 1.9821716000005836, 2.14226459999918, 2.31004020000546, 2.4772257000004174, 2.6536180000039167, 2.8131776000009268, 3.0141829999993206]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",31.01516619999893,31.06893780000246,31.028752620000887,31.06893780000246,31.046799000003375,31.06893780000246,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
5,0,5,0,31.06893780000246,,31.047435500004212,31.06893780000246,31.06893780000246,31.06893780000246,31.06893780000246,31.06893780000246,31.06893780000246,33.39452130000427,18,10,False,0.5,38,1.9,0.334375,0.66875,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.5511087999984738, 0.6878595000016503, 0.8469708999982686, 1.007108400001016, 1.182986300002085, 1.352872399998887, 1.6324592999953893, 1.7912361999988207, 1.9521839000008185, 2.1120892999970238, 2.319018700000015]","[None, None, None, None, None, None, None, None, None, None, None]",33.39717209999799,33.43970909999916,33.40959341999769,33.43970909999916,33.41677150000032,33.43970909999916,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
6,0,6,0,33.43970909999916,,33.41756419999729,33.43970909999916,33.43970909999916,33.43970909999916,33.43970909999916,33.43970909999916,33.43970909999916,35.3268132000012,25,11,False,0.55,49,2.45,0.3578125,0.715625,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.09237629999552155, 0.24328719999903115, 0.39627459999610437, 0.5802780999947572, 0.724321499998041, 0.875295300000289, 1.0672550000017509, 1.2274261999991722, 1.3953717999975197, 1.5553870000003371, 1.7153650999971433, 1.8923895999978413]","[None, None, None, None, None, None, None, None, None, None, None, None]",35.32866169999761,35.375771899998654,35.34168172000136,35.375771899998654,35.35625170000276,35.375771899998654,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
7,0,7,0,35.375771899998654,,35.356825499999104,35.375771899998654,35.375771899998654,35.375771899998654,35.375771899998654,35.375771899998654,35.375771899998654,37.908089600001404,28,15,False,0.75,64,3.2,0.4515625,0.903125,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.10647989999415586, 0.25052539999887813, 0.4184889999960433, 0.570508199998585, 0.7464867999951821, 0.9305069999973057, 1.106477299996186, 1.2663316999969538, 1.4270433999990928, 1.6023673999952734, 1.7640830999953323, 1.9391407999937655, 2.1070161999959964, 2.2663458999959403, 2.4110647999987123, 2.5391405999980634]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",37.909408400002576,37.93562770000426,37.92291062000368,37.93562770000426,37.916489700000966,37.93562770000426,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
8,0,8,0,37.93562770000426,,37.91701969999849,37.93562770000426,37.93562770000426,37.93562770000426,37.93562770000426,37.93562770000426,37.93562770000426,40.489043599998695,30,14,False,0.7,78,3.9,0.428125,0.85625,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.16275250000035157, 0.3075518000041484, 0.48301180000271415, 0.6349578000008478, 0.8107947000025888, 0.9708721000060905, 1.138784200004011, 1.2994663000063156, 1.466904800006887, 1.6351003000017954, 1.8112451000051806, 1.9795764000009513, 2.1715675000014016, 2.362748100000317, 2.5467771000039647]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",40.491952700002,40.517286900001636,40.5039006199986,40.517286900001636,40.496151100000134,40.517286900001636,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
9,0,9,0,40.517286900001636,,40.49651879999874,40.517286900001636,40.517286900001636,40.517286900001636,40.517286900001636,40.517286900001636,40.517286900001636,43.33676220000052,16,16,False,0.8,94,4.7,0.475,0.95,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.10892549999698531, 0.2688960000014049, 0.42193769999721553, 0.5888875999953598, 0.7489296999992803, 0.9170070999971358, 1.0862379999962286, 1.2692305999953533, 1.43722429999616, 1.6132326000006287, 1.7817728000009083, 1.942772900001728, 2.109867499995744, 2.285664099996211, 2.4537068999998155, 2.597449200002302, 2.8134442000009585]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",43.33840739999869,43.36599399999977,43.35179001999859,43.36599399999977,43.346886899998935,43.36599399999977,,,,,,287797,,2024-02-19_18h27.48.991,bart,2023.2.2,60.12133688126385,2024-02-19 18h28.00.256312 +0000,
