trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,bangSlide.started,text.started,bang.started,text.stopped,bangSlide.stopped,bang.stopped,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03711989999283105,,0.003619999988586642,0.03711989999283105,0.03711989999283105,0.03711989999283105,0.03711989999283105,0.03711989999283105,0.03711989999283105,2.417533799991361,1,2,True,0,0,0.0,0.165,0.33,"['l', 'l']","[1.8910818000003928, 2.386224600006244]","[None, None]",2.4192094999889378,2.4323937999870395,2.4325023099940153,3.4335372999921674,3.415417399999569,,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
1,0,1,0,3.4335372999921674,,3.4156948999880115,3.4335372999921674,3.4335372999921674,3.4335372999921674,3.4335372999921674,3.4335372999921674,3.4335372999921674,6.9474400999897625,4,5,True,0,0,0.0,0.36,0.72,"['l', 'l', 'l', 'l', 'l']","[2.1574792000028538, 2.4554915000044275, 2.750715300004231, 3.029394400000456, 3.5185554000054253]","[None, None, None, None, None]",6.94880299999204,6.9619565999892075,6.962292709997564,7.961267799997586,7.945074699993711,,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
2,0,2,0,7.961267799997586,,7.945345299987821,7.961267799997586,7.961267799997586,7.961267799997586,7.961267799997586,7.961267799997586,7.961267799997586,11.19358999999531,7,3,False,0.15,3,0.15,0.29500000000000004,0.5900000000000001,"['l', 'l', 'l', 'a']","[2.3118991999945138, 2.585122999997111, 2.9439420999988215, 3.2331548999936786]","[None, None, None, None]",11.194405499991262,11.239406599997892,11.208696509986476,11.239406599997892,11.218695699993987,11.239406599997892,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
3,0,3,0,11.239406599997892,,11.218986199994106,11.239406599997892,11.239406599997892,11.239406599997892,11.239406599997892,11.239406599997892,11.239406599997892,15.44012099999236,8,4,False,0.2,7,0.35,0.36,0.72,"['l', 'l', 'l', 'l', 'a']","[3.023935299992445, 3.3442923999973573, 3.663802499999292, 3.935599100004765, 4.207592899998417]","[None, None, None, None, None]",15.440984399989247,15.468299299987848,15.45518780998682,15.468299299987848,15.448661599992192,15.468299299987848,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
4,0,4,0,15.468299299987848,,15.448941899987403,15.468299299987848,15.468299299987848,15.468299299987848,15.468299299987848,15.468299299987848,15.468299299987848,17.08922619999794,3,4,True,0,7,0.35,0.29500000000000004,0.5900000000000001,"['l', 'l', 'l', 'l']","[0.8146444000012707, 1.0698911000072258, 1.3175539000076242, 1.630135400002473]","[None, None, None, None]",17.090060799993807,17.103736399993068,17.104006909996677,18.119483399990713,18.10332379999454,,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
5,0,5,0,18.119483399990713,,18.103618900000583,18.119483399990713,18.119483399990713,18.119483399990713,18.119483399990713,18.119483399990713,18.119483399990713,21.651200599997537,5,5,False,0.25,12,0.6,0.42500000000000004,0.8500000000000001,"['l', 'l', 'l', 'l', 'l', 'a']","[0.640008400005172, 1.088715100006084, 1.4086507000029087, 1.7678603999956977, 2.441808600007789, 3.527857100008987]","[None, None, None, None, None, None]",21.652040299988585,21.69071019999683,21.666703109991793,21.69071019999683,21.66854389999935,21.69071019999683,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
6,0,6,0,21.69071019999683,,21.668842200000654,21.69071019999683,21.69071019999683,21.69071019999683,21.69071019999683,21.69071019999683,21.69071019999683,25.79909209998732,9,10,True,0,12,0.6,0.6849999999999999,1.3699999999999999,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[1.0625142000062624, 1.3734092000086093, 1.669870900004753, 2.1349227000027895, 2.7420895000104792, 2.9732467000139877, 3.19820030000119, 3.4224038000102155, 3.757329000000027, 4.110307000009925]","[None, None, None, None, None, None, None, None, None, None]",25.799933699992835,25.813106599991443,25.813767809986892,26.813238099988666,26.796214299989515,,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
7,0,7,0,26.813238099988666,,26.79650289998972,26.813238099988666,26.813238099988666,26.813238099988666,26.813238099988666,26.813238099988666,26.813238099988666,32.2435567999928,10,11,True,0,12,0.6,0.75,1.5,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[2.827899800002342, 3.3794038999913028, 3.621024699998088, 3.940126599991345, 4.139229399996111, 4.323217199998908, 4.636199300002772, 4.821035699991626, 4.9961667000025045, 5.1881330999895, 5.4359413999918615]","[None, None, None, None, None, None, None, None, None, None, None]",32.24441669999214,32.25780429999577,32.25878510999464,33.257009399996605,33.24086219999299,,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
8,0,8,0,33.257009399996605,,33.24113879998913,33.257009399996605,33.257009399996605,33.257009399996605,33.257009399996605,33.257009399996605,33.257009399996605,58.55434239999158,6,7,True,0,12,0.6,0.49,0.98,"['l', 'l', 'l', 'l', 'l', 'l', 'l']","[22.91464000000269, 23.100227100003394, 23.274754500002018, 23.450984900002368, 23.627846700008377, 23.978481800004374, 25.298251700005494]","[None, None, None, None, None, None, None]",58.55570240000088,58.56935479999811,58.56968530999293,59.56852629999048,59.55235449998872,,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
9,0,9,0,59.56852629999048,,59.55264869998791,59.56852629999048,59.56852629999048,59.56852629999048,59.56852629999048,59.56852629999048,59.56852629999048,62.65110819999245,2,3,True,0,12,0.6,0.23,0.46,"['l', 'l', 'l']","[2.6430429000029108, 2.8829157000000123, 3.0830778000090504]","[None, None, None]",62.65194029999839,62.66618749999907,62.666399309992265,63.665345999994315,63.6491229999956,,,,,,,364255,,2024-02-15_20h06.00.211,bart,2023.2.2,60.25323228920156,2024-02-15 20h06.07.439900 +0000,
