trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,boomSlide.started,text.started,soundEffect.started,text.stopped,boomSlide.stopped,soundEffect.stopped,ending.started,feedbackFinal.started,key_resp_2.started,feedbackFinal.stopped,key_resp_2.stopped,ending.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03854900000442285,,0.0039850000030128285,0.03854900000442285,0.03854900000442285,0.03854900000442285,0.03854900000442285,0.03854900000442285,0.03854900000442285,6.074917699996149,14,15,True,0,0,0.0,0.428125,0.85625,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[2.1482678999891505, 2.475737199987634, 2.7715193999902112, 3.0926279999985127, 3.3801054999930784, 3.6512457999924663, 3.915135499992175, 4.155451399987214, 4.403152099999716, 4.6513654999871505, 4.876140799999121, 5.115790600000764, 5.362643399988883, 5.682644099986646, 6.043654999986757]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",6.076538900000742,6.08980220000376,6.0900635600017266,7.088897199995699,7.072825600000215,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
1,0,1,0,7.088897199995699,,7.0731832000019494,7.088897199995699,7.088897199995699,7.088897199995699,7.088897199995699,7.088897199995699,7.088897199995699,11.38731610000832,16,17,True,0,0,0.0,0.475,0.95,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.5840484000073047, 0.8396493000036571, 0.9919037000072422, 1.175835600006394, 1.5438976000004914, 1.7204132000042591, 1.8961274000030244, 2.0799893000075826, 2.255056300011347, 2.448028800004977, 2.6549755000014557, 2.8629719000018667, 3.072979300006409, 3.3121841000101995, 3.568017500001588, 3.8229710000014165, 4.2887671000062255]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",11.388730999999098,11.40201540000271,11.402793860009115,12.401416799999424,12.385172299997066,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
2,0,2,0,12.401416799999424,,12.385516700000153,12.401416799999424,12.401416799999424,12.401416799999424,12.401416799999424,12.401416799999424,12.401416799999424,24.743045600000187,17,17,False,0.85,17,0.85,0.4984375,0.996875,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.4114518999995198, 0.9153082000120776, 1.1555575000093086, 1.3401940000039758, 1.6364281999995, 1.9953103000007104, 2.3802779000106966, 2.6602740000089398, 7.195075900002848, 7.498924500003341, 7.764209500004654, 8.027222700009588, 8.435148200005642, 8.780346900006407, 9.155606300002546, 9.580160600002273, 11.803872000004048, 12.346920200012391]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",24.744251399999484,24.772668600009638,24.758032760005154,24.772668600009638,24.74995630000194,24.772668600009638,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
3,0,3,0,24.772668600009638,,24.750347399996826,24.772668600009638,24.772668600009638,24.772668600009638,24.772668600009638,24.772668600009638,24.772668600009638,27.740312699999777,6,7,True,0,17,0.85,0.240625,0.48125,"['l', 'l', 'l', 'l', 'l', 'l', 'l']","[1.3567354999977397, 1.613433200007421, 1.829213200006052, 2.0462154999986524, 2.2772049000050174, 2.566211600002134, 2.9744918000069447]","[None, None, None, None, None, None, None]",27.741586999996798,27.755237600009423,27.755349460004073,28.754679100005887,28.738552800001344,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
4,0,4,0,28.754679100005887,,28.73900090000825,28.754679100005887,28.754679100005887,28.754679100005887,28.754679100005887,28.754679100005887,28.754679100005887,47.47429349999584,28,28,False,1.4,45,2.25,0.75625,1.5125,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[5.063758099990082, 5.286681800003862, 5.495568500002264, 5.686361699990812, 5.863384900003439, 6.047361599994474, 6.214432599997963, 6.383376199999475, 6.567381699991529, 6.743366299997433, 6.967349500002456, 7.686991599999601, 7.9344098000001395, 8.127255300001707, 8.287257100004354, 8.454239999991842, 8.631456999995862, 9.10254979999445, 9.335904299994581, 9.622211199995945, 9.983314500001143, 10.368300699992687, 10.606363200000487, 10.814341499994043, 11.415093899995554, 11.85494409999228, 15.32740389999526, 15.808271999994759, 18.711840199990547]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",47.47551089999615,47.49978340000962,47.48975425999815,47.49978340000962,47.48034350000671,47.49978340000962,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
5,0,5,0,47.49978340000962,,47.480683300003875,47.49978340000962,47.49978340000962,47.49978340000962,47.49978340000962,47.49978340000962,47.49978340000962,49.52238870000292,7,8,True,0,45,2.25,0.2640625,0.528125,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.9332622999936575, 1.1019036999932723, 1.2695598999998765, 1.3980825999897206, 1.5494087999977637, 1.7014387999952305, 1.861430199991446, 2.028796099999454]","[None, None, None, None, None, None, None, None]",49.523652700008824,49.53754309999931,49.53742255999968,50.53714030000265,50.520780400009244,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
6,0,6,0,50.53714030000265,,50.521430699998746,50.53714030000265,50.53714030000265,50.53714030000265,50.53714030000265,50.53714030000265,50.53714030000265,55.367694100001245,23,24,True,0,45,2.25,0.6390625,1.278125,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.6733001000102377, 0.840149100011331, 1.0091365999978734, 1.1761934000096517, 1.3284848000039347, 1.480547099999967, 1.6398888000112493, 1.80076790000021, 1.9608462000032887, 2.127818200009642, 2.3050254999980098, 2.456333900001482, 2.6481817000021692, 2.832269600010477, 3.0011960999981966, 3.176560400010203, 3.3614861000096425, 3.561890400000266, 3.7440443000086816, 3.943811300006928, 4.185306600003969, 4.505236400000285, 4.823912799998652]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",55.369495300008566,55.38260199999786,55.383174859995776,56.38189580000471,56.36571260000346,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
7,0,7,0,56.38189580000471,,56.36605490000511,56.38189580000471,56.38189580000471,56.38189580000471,56.38189580000471,56.38189580000471,56.38189580000471,57.99859840000863,8,9,True,0,45,2.25,0.2875,0.575,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.44680210000660736, 0.6386321000027237, 0.7834165000094799, 0.95164100000693, 1.1194060999987414, 1.2962722000083886, 1.4554927999997744, 1.6232718999963254]","[None, None, None, None, None, None, None, None]",58.0002436000068,58.01398540000082,58.01380856000905,59.02990690000297,59.01336569999694,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
8,0,8,0,59.02990690000297,,59.013724000004004,59.02990690000297,59.02990690000297,59.02990690000297,59.02990690000297,59.02990690000297,59.02990690000297,91.97189040000376,32,33,True,0,45,2.25,0.85,1.7,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.4469323999946937, 0.9918175999919185, 1.1675760999933118, 1.3363741999928607, 1.5123077999887755, 1.6954406999866478, 1.8632870999863371, 2.039549699999043, 2.1922832999989623, 2.375465399993118, 2.5526512999931583, 2.7274964999960503, 2.895469299997785, 3.0634320999961346, 3.2474360999913188, 3.4227755999891087, 3.5922713999898406, 3.7751306999998633, 3.9437835999997333, 4.118843899996136, 4.3107489999965765, 4.486791599993012, 4.687097999994876, 4.879077299992787, 5.0790909999923315, 5.295109799990314, 5.495227599996724, 5.703532199986512, 5.918913799992879, 6.166795999990427, 6.422865199987427, 6.711846599995624, 32.94267669999681]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",91.97311679999984,91.985897999999,91.98705785999918,92.98514160000195,92.96908290000283,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
9,0,9,0,92.98514160000195,,92.96962859999621,92.98514160000195,92.98514160000195,92.98514160000195,92.98514160000195,92.98514160000195,92.98514160000195,99.54885780000768,27,28,True,0,45,2.25,0.7328125,1.465625,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[1.0667785000114236, 2.2198418000043603, 2.3872783000115305, 2.5630755000020145, 2.723527300011483, 2.8750587000104133, 2.987285300012445, 3.1554479000042193, 3.322609700000612, 3.4915584000118542, 3.6433608000079403, 3.8104687000013655, 3.9866095000033965, 4.138616300013382, 4.3145474000048125, 4.491392700001597, 4.658890800012159, 4.836181700011366, 5.01945930000511, 5.179229800007306, 5.347503500001039, 5.523440100005246, 5.698689600001671, 5.8756706999993185, 6.035686400005943, 6.219689600009588, 6.3956025000079535, 6.5706640999997035]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",99.55002570000943,99.5630525000015,99.56387036000233,100.56228959999862,100.54614380000567,,,,,,,,,597956,,2024-02-15_22h33.41.161,bart,2023.2.2,60.065074500756346,2024-02-15 22h33.50.069436 +0000,
