8.4068 	WARNING 	User requested fullscreen with size [1280  720], but screen is actually [1920, 1080]. Using actual size
10.0174 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018D2D3D3CD0>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018D2D3D3C70>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000018D2D3D3AF0>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000018D2D5E47F0>, multiSample=False, name='window1', numSamples=2, pos=(0, 0), screen=0, size=array([1920, 1080]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
10.0177 	EXP 	window1: mouseVisible = True
10.0177 	EXP 	window1: backgroundImage = ''
10.0177 	EXP 	window1: backgroundFit = 'none'
10.0214 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
10.0214 	EXP 	window1: recordFrameIntervals = False
10.1841 	EXP 	window1: recordFrameIntervals = True
10.3680 	EXP 	Screen (0) actual frame rate measured at 59.91Hz
10.3680 	EXP 	window1: recordFrameIntervals = False
10.3681 	EXP 	window1: mouseVisible = True
13.0311 	EXP 	bart: status = STARTED
13.0313 	EXP 	window1: mouseVisible = True
13.0359 	EXP 	Created balloon = ShapeStim(__class__=<class 'psychopy.visual.shape.ShapeStim'>, anchor=('center', 'bottom'), autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace='rgb', contrast=None, depth=-1.0, draggable=False, fillColor=array([-1., -1.,  1.]), fillColorSpace='rgb', fillRGB=array([-1., -1.,  1.]), interpolate=True, lineColor=array([0., 0., 0.]), lineColorSpace='rgb', lineRGB=array([0., 0., 0.]), lineWidth=1.0, name='balloon', opacity=1.0, ori=0.0, pos=array([ 0. , -0.9]), size=array([1., 1.]), units='norm', vertices=ndarray(...), win=Window(...), windingRule=None)
13.0362 	EXP 	window1: mouseVisible = True
13.1213 	EXP 	Created pump = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-2.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='pump', opacity=1.0, ori=0.0, pos=array([ 0.9, -0.9]), rgb=UNKNOWN, text='press "L" to PUMP', units='norm', win=Window(...), wrapWidth=1)
13.1215 	EXP 	window1: mouseVisible = True
13.1312 	EXP 	Created bank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-3.0, draggable=False, flipHoriz=False, flipVert=False, font='Open Sans', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='bank', opacity=1.0, ori=0.0, pos=array([-0.9, -0.9]), rgb=UNKNOWN, text='press "A" to BANK', units='norm', win=Window(...), wrapWidth=1)
0.0033 	EXP 	Created sequence: sequential, trialTypes=1, nReps=5, seed=None
0.0035 	EXP 	New trial (rep=0, index=0): None
0.0112 	EXP 	balloon: autoDraw = True
0.0112 	EXP 	pump: autoDraw = True
0.0112 	EXP 	bank: autoDraw = True
1.2639 	DATA 	Keypress: l
1.6633 	DATA 	Keypress: l
1.8641 	DATA 	Keypress: l
2.0312 	DATA 	Keypress: l
2.2148 	DATA 	Keypress: l
2.4149 	DATA 	Keypress: l
2.4164 	EXP 	New trial (rep=1, index=0): None
2.4306 	EXP 	balloon: autoDraw = False
2.4306 	EXP 	pump: autoDraw = False
2.4306 	EXP 	bank: autoDraw = False
2.4306 	EXP 	balloon: autoDraw = True
2.4306 	EXP 	pump: autoDraw = True
2.4306 	EXP 	bank: autoDraw = True
2.5987 	DATA 	Keypress: l
3.0666 	DATA 	Keypress: l
3.2167 	DATA 	Keypress: l
3.3841 	DATA 	Keypress: l
3.5679 	DATA 	Keypress: l
3.7677 	DATA 	Keypress: l
3.9515 	DATA 	Keypress: l
4.1185 	DATA 	Keypress: l
4.3025 	DATA 	Keypress: l
4.4721 	DATA 	Keypress: l
4.4877 	EXP 	New trial (rep=2, index=0): None
4.5018 	EXP 	balloon: autoDraw = False
4.5018 	EXP 	pump: autoDraw = False
4.5018 	EXP 	bank: autoDraw = False
4.5018 	EXP 	balloon: autoDraw = True
4.5018 	EXP 	pump: autoDraw = True
4.5018 	EXP 	bank: autoDraw = True
4.6534 	DATA 	Keypress: l
4.8705 	DATA 	Keypress: l
5.0375 	DATA 	Keypress: l
5.2213 	DATA 	Keypress: l
5.3912 	DATA 	Keypress: l
5.4062 	EXP 	New trial (rep=3, index=0): None
5.4204 	EXP 	balloon: autoDraw = False
5.4204 	EXP 	pump: autoDraw = False
5.4204 	EXP 	bank: autoDraw = False
5.4204 	EXP 	balloon: autoDraw = True
5.4204 	EXP 	pump: autoDraw = True
5.4204 	EXP 	bank: autoDraw = True
5.5719 	DATA 	Keypress: l
5.7390 	DATA 	Keypress: l
5.9227 	DATA 	Keypress: l
5.9245 	EXP 	New trial (rep=4, index=0): None
5.9381 	EXP 	balloon: autoDraw = False
5.9381 	EXP 	pump: autoDraw = False
5.9381 	EXP 	bank: autoDraw = False
5.9381 	EXP 	balloon: autoDraw = True
5.9381 	EXP 	pump: autoDraw = True
5.9381 	EXP 	bank: autoDraw = True
6.0771 	DATA 	Keypress: l
6.2567 	DATA 	Keypress: l
6.4237 	DATA 	Keypress: l
6.5905 	DATA 	Keypress: l
6.7745 	DATA 	Keypress: l
6.9415 	DATA 	Keypress: l
7.1251 	DATA 	Keypress: l
7.3090 	DATA 	Keypress: l
7.4762 	DATA 	Keypress: l
7.6599 	DATA 	Keypress: l
7.6756 	EXP 	balloon: autoDraw = False
7.6756 	EXP 	pump: autoDraw = False
7.6756 	EXP 	bank: autoDraw = False
7.6756 	EXP 	bart: status = STOPPED
7.8429 	EXP 	window1: mouseVisible = True
