trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_done,nPumps_wouldPop,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.016107700008433312,,0.003715300001204014,0.016107700008433312,0.016107700008433312,0.016107700008433312,0.016107700008433312,2.536915600008797,3,2,0.13,0.26,True,"['l', 'l', 'l']","[1.4460868000169285, 1.861916600028053, 2.5168538999860175]","[None, None, None]",716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
1,0,1,0,2.564376699971035,,2.538749600003939,2.564376699971035,2.564376699971035,2.564376699971035,2.564376699971035,4.88502739998512,6,6,0.19,0.38,False,"['l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.5442318999557756, 0.7442574999877252, 0.9601721999933943, 1.1521930999588221, 1.3602150999940932, 1.7762386999675073, 2.32020229997579]","[None, None, None, None, None, None, None]",716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
2,0,2,0,4.899993399973027,,4.886405099998228,4.899993399973027,4.899993399973027,4.899993399973027,4.899993399973027,6.066967799968552,2,1,0.115,0.23,True,"['l', 'l']","[1.0276148000266403, 1.1716795000247657]","[None, None]",716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
3,0,3,0,6.082293599960394,,6.067786999978125,6.082293599960394,6.082293599960394,6.082293599960394,6.082293599960394,6.266870499996003,0,7,0.1,0.2,False,['a'],[0.18768370000179857],[None],716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
4,0,4,0,6.282132299966179,,6.267800999979954,6.282132299966179,6.282132299966179,6.282132299966179,6.282132299966179,7.915241800015792,3,3,0.14500000000000002,0.29000000000000004,False,"['l', 'l', 'l', 'a']","[0.831297299999278, 1.2391630000201985, 1.4231678000069223, 1.6312165000126697]","[None, None, None, None]",716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
5,0,5,0,7.930799499968998,,7.916037399962079,7.930799499968998,7.930799499968998,7.930799499968998,7.930799499968998,9.13182249997044,5,4,0.16,0.32,True,"['l', 'l', 'l', 'l', 'l']","[0.5923047999967821, 0.7361272999551147, 0.8881104000029154, 1.0468937999685295, 1.1988827000022866]","[None, None, None, None, None]",716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
6,0,6,0,9.146727799961809,,9.132825899985619,9.146727799961809,9.146727799961809,9.146727799961809,9.146727799961809,9.980464099964593,3,9,0.14500000000000002,0.29000000000000004,False,"['l', 'l', 'l', 'a']","[0.173731199989561, 0.38100689998827875, 0.5330332000157796, 0.8282550000003539]","[None, None, None, None]",716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
7,0,7,0,9.996019899961539,,9.981774299987592,9.996019899961539,9.996019899961539,9.996019899961539,9.996019899961539,10.163645699969493,0,5,0.1,0.2,False,['a'],[0.1648640999919735],[None],716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
8,0,8,0,10.179290000000037,,10.164398900000378,10.179290000000037,10.179290000000037,10.179290000000037,10.179290000000037,10.51370259997202,0,10,0.1,0.2,False,['a'],[0.34356369997840375],[None],716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
9,0,9,0,10.528882000013255,,10.51442829996813,10.528882000013255,10.528882000013255,10.528882000013255,10.528882000013255,10.913321600004565,0,8,0.1,0.2,False,['a'],[0.39098560001002625],[None],716035,,2024-02-13_17h05.44.660,bart,2023.2.2,60.014175337381104,2024-02-13 17h05.52.999758 +0000,
