trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,debugText.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.03790790001221467,,0.003950900005293079,0.03790790001221467,0.03790790001221467,0.03790790001221467,0.03790790001221467,0.03790790001221467,0.03790790001221467,6.354694400011795,8,9,True,0,0,0.0,0.62,1.24,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[2.2235305000067456, 2.5914228000037838, 2.919388700000127, 3.1843481000105385, 3.5191298999998253, 3.831437000000733, 4.175121799999033, 4.616312300000573, 6.3110169999999925]","[None, None, None, None, None, None, None, None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
1,0,1,0,6.424719400005415,,6.356155500005116,6.424719400005415,6.424719400005415,6.424719400005415,6.424719400005415,6.424719400005415,6.424719400005415,8.103266700010863,4,5,True,0,0,0.0,0.36,0.72,"['l', 'l', 'l', 'l', 'l']","[0.3944015000015497, 0.6599639000050956, 0.9227825999987544, 1.210379299998749, 1.676042300008703]","[None, None, None, None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
2,0,2,0,8.120417500002077,,8.104930800007423,8.120417500002077,8.120417500002077,8.120417500002077,8.120417500002077,8.120417500002077,8.120417500002077,11.167391000009957,7,8,True,0,0,0.0,0.555,1.11,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.47563619998982176, 0.780382799988729, 1.0519939999940107, 1.3326892999903066, 1.6034407999977702, 1.9234163999935845, 2.332288999998127, 3.0433115999912843]","[None, None, None, None, None, None, None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
3,0,3,0,11.182289700009278,,11.168591599998763,11.182289700009278,11.182289700009278,11.182289700009278,11.182289700009278,11.182289700009278,11.182289700009278,19.96046020000358,10,10,False,0.5,10,0.5,0.75,1.5,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.6144979999953648, 0.8479525000002468, 1.0719590000080643, 1.3182164000027115, 1.5823457000078633, 1.8228947000025073, 2.071347799996147, 2.3429532000009203, 2.6144654999952763, 3.126740499996231, 8.782622200000333]","[None, None, None, None, None, None, None, None, None, None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
4,0,4,0,19.980346299998928,,19.96151340000506,19.980346299998928,19.980346299998928,19.980346299998928,19.980346299998928,19.980346299998928,19.980346299998928,23.4904314000014,5,5,False,0.25,15,0.75,0.42500000000000004,0.8500000000000001,"['l', 'l', 'l', 'l', 'l', 'a']","[1.559850200006622, 1.7766218000033405, 1.984103499999037, 2.2333099999959813, 2.472310600001947, 3.513217400002759]","[None, None, None, None, None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
5,0,5,0,23.509751800011145,,23.491377099999227,23.509751800011145,23.509751800011145,23.509751800011145,23.509751800011145,23.509751800011145,23.509751800011145,26.204695799999172,3,3,False,0.15000000000000002,18,0.9,0.29500000000000004,0.5900000000000001,"['l', 'l', 'l', 'a']","[1.3743487000028836, 1.6316245000052731, 2.1745631999947364, 2.6864260000002105]","[None, None, None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
6,0,6,0,26.22592930000974,,26.206005800006096,26.22592930000974,26.22592930000974,26.22592930000974,26.22592930000974,26.22592930000974,26.22592930000974,44.22336110001197,1,1,False,0.05,19,0.95,0.165,0.33,"['l', 'a']","[17.172526900001685, 18.003120199995465]","[None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
7,0,7,0,44.24817890000122,,44.22510239999974,44.24817890000122,44.24817890000122,44.24817890000122,44.24817890000122,44.24817890000122,44.24817890000122,45.938466999999946,6,1,False,0.05,20,1.0,0.165,0.33,"['a', 'a', 'a', 'a', 'l', 'a']","[0.5183937999972841, 0.7436100000049919, 0.942673300000024, 1.1349287000048207, 1.4953863999980967, 1.6939294000039808]","[None, None, None, None, None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
8,0,8,0,45.96053960001154,,45.939930900000036,45.96053960001154,45.96053960001154,45.96053960001154,45.96053960001154,45.96053960001154,45.96053960001154,46.338161500010756,2,1,False,0.05,21,1.05,0.165,0.33,"['l', 'a']","[0.1811939000035636, 0.38060740000219084]","[None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
9,0,9,0,46.35402240000258,,46.33916820000741,46.35402240000258,46.35402240000258,46.35402240000258,46.35402240000258,46.35402240000258,46.35402240000258,46.738025099999504,9,1,False,0.05,22,1.1,0.165,0.33,"['l', 'a']","[0.16964789999474306, 0.3868178999982774]","[None, None]",,,,,,,,726075,,2024-02-15_19h29.34.197,bart,2023.2.2,59.938131856709994,2024-02-15 19h29.40.979883 +0000,
