trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,bankedPumps,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.016947199997957796,,0.00372480001533404,0.016947199997957796,0.016947199997957796,0.016947199997957796,0.016947199997957796,2.913484700024128,7,8,True,0,0.20500000000000002,0.41000000000000003,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l']","[0.9743216999922879, 1.2622022000141442, 1.4945209000143223, 1.6934375999844633, 1.9024087000289, 2.110297500039451, 2.3983965000370517, 2.9024093000334688]","[None, None, None, None, None, None, None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
1,0,1,0,2.9286270000156946,,2.9146339000435546,2.9286270000156946,2.9286270000156946,2.9286270000156946,2.9286270000156946,6.1105700000189245,1,1,False,1,0.115,0.23,"['a', 'a', 'l', 'a']","[1.8500498999492265, 2.315253499953542, 2.75527109997347, 3.178047899971716]","[None, None, None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
2,0,2,0,6.12605220003752,,6.111377299996093,6.12605220003752,6.12605220003752,6.12605220003752,6.12605220003752,7.209903700044379,2,3,True,1,0.13,0.26,"['l', 'l', 'l']","[0.7745760999969207, 0.9262602999806404, 1.0942888999707066]","[None, None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
3,0,3,0,7.225254099990707,,7.210783899994567,7.225254099990707,7.225254099990707,7.225254099990707,7.225254099990707,8.192709000024479,3,4,True,1,0.14500000000000002,0.29000000000000004,"['l', 'l', 'l', 'l']","[0.15382489998592064, 0.30585349997272715, 0.8109668000251986, 0.9710489999852143]","[None, None, None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
4,0,4,0,8.207589500001632,,8.193623400002252,8.207589500001632,8.207589500001632,8.207589500001632,8.207589500001632,11.75622390001081,10,10,False,11,0.25,0.5,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.14010000001871958, 0.30687079997733235, 0.4828618000028655, 0.946833299996797, 1.3628811999806203, 1.5788655999931507, 1.746847499976866, 2.154815200017765, 2.5948665000032634, 3.0989351000171155, 3.556432400015183]","[None, None, None, None, None, None, None, None, None, None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
5,0,5,0,11.771473500004504,,11.757152200036217,11.771473500004504,11.771473500004504,11.771473500004504,11.771473500004504,13.621330099995248,6,1,False,12,0.115,0.23,"['a', 'a', 'a', 'l', 'a']","[0.9919872999889776, 1.2883266999851912, 1.4552728999988176, 1.7045192000223324, 1.8565220999880694]","[None, None, None, None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
6,0,6,0,13.636649699998088,,13.622251600027084,13.636649699998088,13.636649699998088,13.636649699998088,13.636649699998088,14.170942400000058,9,1,False,13,0.115,0.23,"['l', 'a']","[0.4468245000462048, 0.5360764000215568]","[None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
7,0,7,0,14.186019200016744,,14.172509600000922,14.186019200016744,14.186019200016744,14.186019200016744,14.186019200016744,14.620647100033239,5,1,False,14,0.115,0.23,"['l', 'a']","[0.32011219998821616, 0.4401405999669805]","[None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
8,0,8,0,14.635890600038692,,14.62153170001693,14.635890600038692,14.635890600038692,14.635890600038692,14.635890600038692,15.05321450001793,4,1,False,15,0.115,0.23,"['l', 'a']","[0.29650960001163185, 0.4155153000028804]","[None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
9,0,9,0,15.068659600045066,,15.054158499988262,15.068659600045066,15.068659600045066,15.068659600045066,15.068659600045066,15.486689200042747,8,1,False,16,0.115,0.23,"['l', 'a']","[0.2950321999960579, 0.42399290000321344]","[None, None]",867991,,2024-02-13_17h20.51.005,bart,2023.2.2,60.089473242394355,2024-02-13 17h20.57.430646 +0000,
