trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,pump.started,bank.started,debug.started,choice.stopped,nPumps_observed,nPumps_wouldPop,xSize,ySize,popped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.027839699992910028,,0.003842400008579716,0.027839699992910028,0.027839699992910028,0.027839699992910028,0.027839699992910028,8.400621900014812,10.0,9,0.23500000000000001,0.47000000000000003,True,l,8.36620680001215,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
1,0,1,0,8.41588149999734,,8.402172700007213,8.41588149999734,8.41588149999734,8.41588149999734,8.41588149999734,11.390245099988533,5.0,4,0.16,0.32,True,l,2.9754354000033345,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
2,0,2,0,11.40570140001364,,11.391035100008594,11.40570140001364,11.40570140001364,11.40570140001364,11.40570140001364,14.664137299987487,6.0,5,0.175,0.35,True,l,3.267034800024703,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
3,0,3,0,14.679275100002997,,14.664845599996625,14.679275100002997,14.679275100002997,14.679275100002997,14.679275100002997,19.89152470001136,10.0,9,0.23500000000000001,0.47000000000000003,True,l,5.2099327000032645,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
4,0,4,0,19.907096000009915,,19.892317699996056,19.907096000009915,19.907096000009915,19.907096000009915,19.907096000009915,22.91488759999629,7.0,6,0.19,0.38,True,l,3.005212299991399,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
5,0,5,0,22.930288400006248,,22.915840400004527,22.930288400006248,22.930288400006248,22.930288400006248,22.930288400006248,25.97161499998765,6.0,5,0.175,0.35,True,l,3.0466246999858413,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
6,0,6,0,25.986822800012305,,25.972393600008218,25.986822800012305,25.986822800012305,25.986822800012305,25.986822800012305,29.51229099999182,9.0,8,0.22,0.44,True,l,3.5255502000218257,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
7,0,7,0,29.52775529999053,,29.51308269999572,29.52775529999053,29.52775529999053,29.52775529999053,29.52775529999053,33.07028059998993,9.0,8,0.22,0.44,True,l,3.553275799989933,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
8,0,8,0,33.08543400000781,,33.071090599987656,33.08543400000781,33.08543400000781,33.08543400000781,33.08543400000781,37.98056110000471,11.0,10,0.25,0.5,True,l,4.907043199986219,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
9,0,9,0,37.996006000001216,,37.98134990001563,37.996006000001216,37.996006000001216,37.996006000001216,37.996006000001216,42.89097310000216,11.0,10,0.25,0.5,True,l,4.892974000016693,None,971072,,2024-02-12_20h58.37.367,bart,2023.2.2,59.88963538316584,2024-02-12 20h58.44.247922 +0000,
