trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,choice.started,balloon.started,bank.started,pump.started,earning.started,earningpreviousBalloon.started,choice.stopped,nPumps_wouldPop,nPumps_done,popped,earnings_thisBalloon,bankedPumps,earnings,xSize,ySize,key_resp.keys,key_resp.rt,key_resp.duration,boomSlide.started,text.started,text.stopped,soundEffect.started,soundEffect.stopped,boomSlide.stopped,ending.started,feedbackFinal.started,key_resp_2.started,ending.stopped,key_resp_2.keys,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,0,0.0285472999967169,,0.004015999998955522,0.0285472999967169,0.0285472999967169,0.0285472999967169,0.0285472999967169,0.0285472999967169,7.312664199998835,18,18,False,0.9,18,0.9,0.521875,1.04375,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[1.4167159999997239, 1.7375116999974125, 1.8884539999999106, 2.1056634999986272, 2.4088463000007323, 2.7124442999993335, 3.0484963999988395, 3.3857779999962077, 3.7604837999970187, 4.153696599998511, 4.57747830000153, 4.857471399998758, 5.0804806999949506, 5.40047770000092, 5.673042800000985, 5.9137974999975995, 6.297527499998978, 6.728718899998057, 7.280499599997711]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",7.314946499995131,7.398609299998498,7.398609299998498,7.327673759997561,7.398609299998498,7.328488399994967,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
1,0,1,0,7.398609299998498,,7.328893699996115,7.398609299998498,7.398609299998498,7.398609299998498,7.398609299998498,7.398609299998498,13.257952100000693,31,18,False,0.9,36,1.8,0.521875,1.04375,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.41392280000582105, 0.6617168000011588, 1.021714400005294, 1.3025281000009272, 1.5034855000048992, 1.646760900002846, 1.869695800000045, 2.079550800001016, 2.4139425000030315, 2.70269620000181, 3.0707062000001315, 3.3418062000055215, 3.6385970000046655, 3.973844000000099, 4.278042500001902, 4.582719600002747, 4.933739500003867, 5.4307648000030895, 5.863424400005897]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",13.259176999999909,13.292817399997148,13.292817399997148,13.273067159995117,13.292817399997148,13.278340400000161,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
2,0,2,0,13.292817399997148,,13.27868429999944,13.292817399997148,13.292817399997148,13.292817399997148,13.292817399997148,13.292817399997148,18.58669849999569,22,22,False,1.1,58,2.9,0.615625,1.23125,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.43204859999968903, 0.5760144000014407, 0.7529998999962118, 0.9360328999973717, 1.1292497999966145, 1.344044400000712, 1.536859200001345, 1.6970543999996153, 1.9039715999970213, 2.103885700002138, 2.2971443999995245, 2.472907099996519, 2.6812218999984907, 2.865832899995439, 3.0480839000010747, 3.2407489999968675, 3.4241299999994226, 3.6411213999963365, 3.9038633999953163, 4.168880299999728, 4.520917299996654, 4.9039341999960016, 5.288744600002246]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",18.588471499999287,18.625971800000116,18.625971800000116,18.602198559996758,18.625971800000116,18.60875899999519,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
3,0,3,0,18.625971800000116,,18.609324099998048,18.625971800000116,18.625971800000116,18.625971800000116,18.625971800000116,18.625971800000116,23.2495385000002,32,21,False,1.05,79,3.95,0.5921875,1.184375,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.2762060999957612, 0.427173899995978, 0.6110816000000341, 0.7881717999989633, 0.9636358999996446, 1.1311019999993732, 1.3158794999981183, 1.48370459999569, 1.8127278999963892, 1.9870093999998062, 2.1551932000002125, 2.3329354999950738, 2.499850399995921, 2.6838739999948302, 2.859301399999822, 3.043873299997358, 3.235834999999497, 3.4359130000011646, 3.6440646999981254, 4.076640200000838, 4.261160499998368, 4.62822729999607]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",23.251103700000385,23.278675399997155,23.278675399997155,23.2646716599942,23.278675399997155,23.258738899996388,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
4,0,4,0,23.278675399997155,,23.259093000000576,23.278675399997155,23.278675399997155,23.278675399997155,23.278675399997155,23.278675399997155,24.181729600000835,3,4,True,0,79,3.95,0.1703125,0.340625,"['l', 'l', 'l', 'l']","[0.38455809999868507, 0.5524555000010878, 0.7206820999999763, 0.8972148000029847]","[None, None, None, None]",24.182900699997845,24.19682549999561,25.19610809999722,24.197034659994095,,25.179921999995713,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
5,0,5,0,25.19610809999722,,25.18047509999451,25.19610809999722,25.19610809999722,25.19610809999722,25.19610809999722,25.19610809999722,26.2466404999941,6,7,True,0,79,3.95,0.240625,0.48125,"['l', 'l', 'l', 'l', 'l', 'l']","[0.18988810000155354, 0.3496222999965539, 0.5337228999997023, 0.7019747000013012, 0.8771073999960208, 1.0460296000019298]","[None, None, None, None, None, None]",26.248213099999703,26.261924099999305,27.261013899995305,26.262076059998797,,27.244826899994223,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
6,0,6,0,27.261013899995305,,27.245163200001116,27.261013899995305,27.261013899995305,27.261013899995305,27.261013899995305,27.261013899995305,27.56234559999575,1,2,True,0,79,3.95,0.1234375,0.246875,['l'],[0.3042746999999508],[None],27.56357559999742,27.577211699994223,28.576630799994746,27.577464759999565,,28.560516599995026,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
7,0,7,0,28.576630799994746,,28.56105209999805,28.576630799994746,28.576630799994746,28.576630799994746,28.576630799994746,28.576630799994746,31.87624629999482,20,18,False,0.9,97,4.85,0.521875,1.04375,"['l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'l', 'a']","[0.3876453999982914, 0.6834445999993477, 0.8606244000038714, 1.0126326000026893, 1.1797029000008479, 1.347641600004863, 1.5157663999998476, 1.6844140000030166, 1.8525797000038438, 2.020515299998806, 2.1813105000037467, 2.347742099998868, 2.5154850000035367, 2.6834851000021445, 2.852628200002073, 3.004729200001748, 3.1555147000035504, 3.307657900004415]","[None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None, None]",31.87795449999976,31.924862299994857,31.924862299994857,31.890925559995956,31.924862299994857,31.908272900000156,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
8,0,8,0,31.924862299994857,,31.908611799997743,31.924862299994857,31.924862299994857,31.924862299994857,31.924862299994857,31.924862299994857,32.34139769999456,13,2,False,0.1,99,4.95,0.146875,0.29375,"['l', 'l', 'a']","[0.14542919999803416, 0.3047951999978977, 0.40877439999894705]","[None, None, None]",32.34286059999431,32.362715999996,32.362715999996,32.35681635999426,32.362715999996,32.348499699997774,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
9,0,9,0,32.362715999996,,32.348818599995866,32.362715999996,32.362715999996,32.362715999996,32.362715999996,32.362715999996,32.60824959999445,29,1,False,0.05,100,5.0,0.1234375,0.246875,"['l', 'a']","[0.12233109999942826, 0.2504876000020886]","[None, None]",32.60945129999891,32.63339649999398,32.63339649999398,32.62340225999869,32.63339649999398,32.61886289999529,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
10,0,10,0,32.63339649999398,,32.61921089999669,32.63339649999398,32.63339649999398,32.63339649999398,32.63339649999398,32.63339649999398,32.84125889999996,25,1,False,0.05,101,5.05,0.1234375,0.246875,"['l', 'a']","[0.07589929999812739, 0.20414850000088336]","[None, None]",32.84276519999548,32.85959429999639,32.85959429999639,32.856394659999204,32.85959429999639,32.84856959999888,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
11,0,11,0,32.85959429999639,,32.8489122999963,32.85959429999639,32.85959429999639,32.85959429999639,32.85959429999639,32.85959429999639,33.05796449999616,30,1,False,0.05,102,5.1,0.1234375,0.246875,"['l', 'a']","[0.06623620000027586, 0.1932431999957771]","[None, None]",33.0591179999974,33.09970229999453,33.09970229999453,33.0730072600003,33.09970229999453,33.08863059999567,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
12,0,12,0,33.09970229999453,,33.088962800000445,33.09970229999453,33.09970229999453,33.09970229999453,33.09970229999453,33.09970229999453,33.274380299997574,16,1,False,0.05,103,5.15,0.1234375,0.246875,"['l', 'a']","[0.04132799999933923, 0.16851670000323793]","[None, None]",33.275588500000595,33.29985169999418,33.29985169999418,33.289271759999245,33.29985169999418,33.28891889999795,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
13,0,13,0,33.29985169999418,,33.28927079999994,33.29985169999418,33.29985169999418,33.29985169999418,33.29985169999418,33.29985169999418,33.474090499999875,5,1,False,0.05,104,5.2,0.1234375,0.246875,"['l', 'a']","[0.05612269999983255, 0.17707780000637285]","[None, None]",33.47533039999689,33.49045739999565,33.49045739999565,33.48930835999854,33.49045739999565,33.4788086999979,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
14,0,14,0,33.49045739999565,,33.47915110000031,33.49045739999565,33.49045739999565,33.49045739999565,33.49045739999565,33.49045739999565,33.690536499998416,27,1,False,0.05,105,5.25,0.1234375,0.246875,"['l', 'a']","[0.07487289999698987, 0.20340989999385783]","[None, None]",33.692110500000126,33.719812999996066,33.719812999996066,33.70577605999497,33.719812999996066,33.708247599999595,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
15,0,15,0,33.719812999996066,,33.70858099999896,33.719812999996066,33.719812999996066,33.719812999996066,33.719812999996066,33.719812999996066,33.923665399997844,14,1,False,0.05,106,5.3,0.1234375,0.246875,"['l', 'a']","[0.0697781999988365, 0.20554660000198055]","[None, None]",33.92571479999606,33.961293299995305,33.961293299995305,33.938725059999705,33.961293299995305,33.948815199997625,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
16,0,16,0,33.961293299995305,,33.94914959999733,33.961293299995305,33.961293299995305,33.961293299995305,33.961293299995305,33.961293299995305,34.17318009999872,23,1,False,0.05,107,5.35,0.1234375,0.246875,"['l', 'a']","[0.04494949999934761, 0.2044497999959276]","[None, None]",34.174427099998866,34.19040329999552,34.19040329999552,34.188710559998434,34.19040329999552,34.17894819999492,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
17,0,17,0,34.19040329999552,,34.17931580000004,34.19040329999552,34.19040329999552,34.19040329999552,34.19040329999552,34.19040329999552,34.42321290000109,4,1,False,0.05,108,5.4,0.1234375,0.246875,"['l', 'a']","[0.07220799999777228, 0.23100870000052964]","[None, None]",34.42435899999691,34.44904939999833,34.44904939999833,34.43845775999434,34.44904939999833,34.43823479999992,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
18,0,18,0,34.44904939999833,,34.43859269999666,34.44904939999833,34.44904939999833,34.44904939999833,34.44904939999833,34.44904939999833,34.65648449999571,21,1,False,0.05,109,5.45,0.1234375,0.246875,"['l', 'a']","[0.04376539999793749, 0.2117073999979766]","[None, None]",34.65799100000004,34.68973469999764,34.68973469999764,34.67173856000081,34.68973469999764,34.67835469999409,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
19,0,19,0,34.68973469999764,,34.67878899999778,34.68973469999764,34.68973469999764,34.68973469999764,34.68973469999764,34.68973469999764,34.955836099994485,8,1,False,0.05,110,5.5,0.1234375,0.246875,"['l', 'a']","[0.08307659999991301, 0.25886670000181766]","[None, None]",34.95702579999488,34.98053660000005,34.98053660000005,34.97138915999894,34.98053660000005,34.96887229999993,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
20,0,20,0,34.98053660000005,,34.969260799996846,34.98053660000005,34.98053660000005,34.98053660000005,34.98053660000005,34.98053660000005,35.17275800000061,7,1,False,0.05,111,5.55,0.1234375,0.246875,"['l', 'a']","[0.049308199995721225, 0.1925204999934067]","[None, None]",35.174059099997976,35.190158899997186,35.190158899997186,35.18792025999792,35.190158899997186,35.17845029999444,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
21,0,21,0,35.190158899997186,,35.17878209999617,35.190158899997186,35.190158899997186,35.190158899997186,35.190158899997186,35.190158899997186,35.42245969999931,2,1,False,0.05,112,5.6,0.1234375,0.246875,"['l', 'a']","[0.07110590000229422, 0.23185309999826131]","[None, None]",35.42363699999987,35.451423099999374,35.451423099999374,35.43757805999703,35.451423099999374,35.43890850000025,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
22,0,22,0,35.451423099999374,,35.439262599997164,35.451423099999374,35.451423099999374,35.451423099999374,35.451423099999374,35.451423099999374,35.65592459999607,12,1,False,0.05,113,5.65,0.1234375,0.246875,"['l', 'a']","[0.06455619999906048, 0.20177780000085477]","[None, None]",35.65823359999922,35.67972439999721,35.67972439999721,35.67062655999543,35.67972439999721,35.66902879999543,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
23,0,23,0,35.67972439999721,,35.66936809999606,35.67972439999721,35.67972439999721,35.67972439999721,35.67972439999721,35.67972439999721,35.88882239999657,9,1,False,0.05,114,5.7,0.1234375,0.246875,"['l', 'a']","[0.07634289999987232, 0.2052378000007593]","[None, None]",35.890015299999504,35.92226769999979,35.92226769999979,35.903971359994465,35.92226769999979,35.90823470000032,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
24,0,24,0,35.92226769999979,,35.908567499995115,35.92226769999979,35.92226769999979,35.92226769999979,35.92226769999979,35.92226769999979,36.12212569999974,17,1,False,0.05,115,5.75,0.1234375,0.246875,"['l', 'a']","[0.051407799997832626, 0.20348569999623578]","[None, None]",36.1233293999976,36.15015339999809,36.15015339999809,36.13714935999669,36.15015339999809,36.13863989999663,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
25,0,25,0,36.15015339999809,,36.13897509999515,36.15015339999809,36.15015339999809,36.15015339999809,36.15015339999809,36.15015339999809,36.37133979999635,19,1,False,0.05,116,5.8,0.1234375,0.246875,"['l', 'a']","[0.055181900002935436, 0.21545430000696797]","[None, None]",36.37254189999658,36.39001189999544,36.39001189999544,36.38673155999495,36.39001189999544,36.378760599996895,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
26,0,26,0,36.39001189999544,,36.379142400001,36.39001189999544,36.39001189999544,36.39001189999544,36.39001189999544,36.39001189999544,36.60478969999531,24,1,False,0.05,117,5.85,0.1234375,0.246875,"['l', 'a']","[0.08821940000052564, 0.21528189999662573]","[None, None]",36.60587999999552,36.61999400000059,36.61999400000059,36.620039859999814,36.61999400000059,36.60810979999951,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
27,0,27,0,36.61999400000059,,36.608436299997265,36.61999400000059,36.61999400000059,36.61999400000059,36.61999400000059,36.61999400000059,36.83777199999895,10,1,False,0.05,118,5.9,0.1234375,0.246875,"['l', 'a']","[0.07354279999708524, 0.2084331000005477]","[None, None]",36.83885879999434,36.861887099999876,36.861887099999876,36.85324505999815,36.861887099999876,36.848247099995206,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
28,0,28,0,36.861887099999876,,36.848596399999224,36.861887099999876,36.861887099999876,36.861887099999876,36.861887099999876,36.861887099999876,37.07104360000085,15,1,False,0.05,119,5.95,0.1234375,0.246875,"['l', 'a']","[0.06487059999926714, 0.20069160000275588]","[None, None]",37.072157399998105,37.0946632999985,37.0946632999985,37.08636676000096,37.0946632999985,37.078503299999284,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
29,0,29,0,37.0946632999985,,37.07922110000072,37.0946632999985,37.0946632999985,37.0946632999985,37.0946632999985,37.0946632999985,37.27187520000007,26,1,False,0.05,120,6.0,0.1234375,0.246875,"['l', 'a']","[0.05603050000354415, 0.18403140000009444]","[None, None]",37.27494519999891,37.30138479999732,37.30138479999732,37.285978160000376,37.30138479999732,37.28849339999579,,,,,,977312,,2024-02-19_18h29.52.546,bart,2023.2.2,60.091134214659036,2024-02-19 18h29.59.645002 +0000,
